"Mookie Betts_BOS","Ryan Braun_MIL","Hanley Ramirez_BOS","Xander Bogaerts_BOS","Brian Dozier_MIN","Eric Thames_MIL","Jose Abreu_CWS","Jackie Bradley_BOS","Andrew Benintendi_BOS","Miguel Sano_MIN","Rougned Odor_TEX","Dustin Pedroia_BOS","Wil Myers_SD","Todd Frazier_CWS","Jonathan Villar_MIL","Melky Cabrera_CWS","Adrian Beltre_TEX","Matt Szczur_SD","Max Kepler_MIN","Keon Broxton_MIL","Carlos Gomez_TEX","Elvis Andrus_TEX","Ryan Schimpf_SD","Avisail Garcia_CWS","Pablo Sandoval_BOS","Joey Gallo_TEX","Robbie Grossman_MIN","Matt Davidson_CWS","Kennys Vargas_MIN","Brock Holt_BOS","Shin-Soo Choo_TEX","Nomar Mazara_TEX","Tyler Saladino_CWS","Eddie Rosario_MIN","Byron Buxton_MIN","Mitch Moreland_BOS","Hernan Perez_MIL","Travis Shaw_MIL","Mike Napoli_TEX","Joe Mauer_MIN","Jorge Polanco_MIN","Chris Young_BOS","Orlando Arcia_MIL","Jonathan Lucroy_TEX","Yangervis Solarte_SD","Delino DeShields_TEX","Manuel Margot_SD","Tim Anderson_CWS","Nick Franklin_MIL","Domingo Santana_MIL","Alex Dickerson_SD","Hunter Renfroe_SD","Sandy Leon_BOS","Chase d'Arnaud_BOS","Jesus Aguilar_MIL","Steve Selsky_BOS","Jurickson Profar_TEX","Cory Spangenberg_SD","Leury Garcia_CWS","Charlie Tilson_CWS","Marco Hernandez_BOS","Eduardo Escobar_MIN","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Robinson Chirinos_TEX","Travis Jankowski_SD","Jason Castro_MIN","Christian Vazquez_BOS","Deven Marrero_BOS","Josh Rutledge_BOS","Pete Kozma_TEX","Brett Nicholas_TEX","Chris Gimenez_MIN","Manny Pina_MIL","Ryan Rua_TEX","Jacob May_CWS","Jett Bandy_MIL","Christian Bethancourt_SD","Austin Hedges_SD","Cody Asche_CWS","Erick Aybar_SD","Hanser Alberto_TEX","Geovany Soto_CWS","Ehire Adrianza_MIN","Omar Narvaez_CWS","Willy Garcia_CWS","Luis Sardinas_SD","Allen Cordoba_SD","Yolmer Sanchez_CWS","Jabari Blash_SD","Kevan Smith_CWS","Hector Sanchez_SD","Drew Robinson_TEX","Zack Collins_CWS","Luis Torrens_SD"
96.5353846153846,0,16.1739130434783,17.7845849802372,0,0,0,-11.9615384615385,60.78125,0,0,23.6320346320346,0,0,0,0,0,0,0,0,0,0,0,0,18.8653846153846,0,0,0,0,0,0,0,0,0,0,19.6923076923077,0,0,0,0,0,-18.0448717948718,0,0,0,0,0,0,0,0,0,0,33.6153846153846,0,0,0,0,0,0,0,-5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,68.7663043478261,0,0,0,22.2232142857142,0,0,0,0,0,0,0,0,-21.9525691699605,0,0,0,0,-32.656862745098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.025641025641,-17.402380952381,0,0,0,0,13.4,0,0,0,0,0,0,4.28070175438596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4358974358974,0,0,49.0363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.1739130434783,0,46.2826086956522,14.4584980237154,0,0,0,-21.6153846153846,18.395256916996,0,0,10.3684210526316,0,0,0,0,0,0,0,0,0,0,0,0,13.1818181818182,0,0,0,0,0,0,0,0,0,0,11.8804347826087,0,0,0,0,0,11.8545454545455,0,0,0,0,0,0,0,0,0,0,25.5,0,0,0,0,0,0,0,-3.1025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.7845849802372,0,14.4584980237154,32.375,0,0,0,-1.68589743589744,36.501976284585,0,0,9.52631578947368,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,11.7771739130435,0,0,0,0,0,20.4204545454545,0,0,0,0,0,0,0,0,0,0,34.5448717948718,0,0,0,0,0,0,0,-0.151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,43.3008658008658,0,0,0,0,-4.88961038961039,0,0,0,0,0,0,0,0,23.4429824561404,0,0,0,0,0,0,0,-5.01666666666667,0,0,0,0,0,0,-9.95238095238095,22.516339869281,0,0,0,0,-2.31372549019608,-1.96052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22.2232142857142,0,0,0,98.6613756613757,0,0,0,0,0,0,0,0,-2.38888888888889,0,0,0,0,-14.6428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.1770833333334,23.2666666666667,0,0,0,0,7.11,0,0,0,0,0,0,-7.94736842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2884615384615,0,0,3.75238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,64.8615384615385,0,0,0,0,0,0,14.1013071895425,0,30.5953557312252,0,0,0,0,0,0,0,-0.125,0,0,0,32.5989010989011,0,0,0,0,6.18421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75889328063241,0,0,0,0,0,0,0,0,0,0,0.607142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11.9615384615385,0,-21.6153846153846,-1.68589743589744,0,0,0,39.1714285714286,2.03296703296703,0,0,3.53030303030303,0,0,0,0,0,0,0,0,0,0,0,0,13.1333333333333,0,0,0,0,0,0,0,0,0,0,-10.5,0,0,0,0,0,46.3333333333333,0,0,0,0,0,0,0,0,0,0,31.5714285714286,0,0,0,0,0,0,0,3.98181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.78125,0,18.395256916996,36.501976284585,0,0,0,2.03296703296703,66.5641025641026,0,0,25.3079710144928,0,0,0,0,0,0,0,0,0,0,0,0,19.5769230769231,0,0,0,0,0,0,0,0,0,0,14.2393162393162,0,0,0,0,0,15.7815934065934,0,0,0,0,0,0,0,0,0,0,53.6593406593407,0,0,0,0,0,0,0,4.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-4.88961038961039,0,0,0,0,86.8405797101449,0,0,0,0,0,0,0,0,29.0953947368421,0,0,0,0,0,0,0,13.6470588235294,0,0,0,0,0,0,-3,31.5361842105264,0,0,0,0,17.8538011695906,3.55844155844156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9583333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,33.6411290322581,0,0,0,0,0,0,0,0,0,40.616935483871,2.79354838709677,0,0,0,1.31397849462366,0,0,0,0,15.6190476190476,16.5714285714286,0,0,0,0,0,0,3.98645320197044,0,0,0,0,0.372294372294372,0,15.3666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.6320346320346,0,10.3684210526316,9.52631578947368,0,0,0,3.53030303030303,25.3079710144928,0,0,25.1884057971014,0,0,0,0,0,0,0,0,0,0,0,0,-5.72727272727273,0,0,0,0,0,0,0,0,0,0,0.927536231884058,0,0,0,0,0,8.40865384615385,0,0,0,0,0,0,0,0,0,0,29.2179487179487,0,0,0,0,0,0,0,-0.0606060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
